X--Trace 1::[vvgs=1; abs(I(PR1))],Y--Trace 1::[vvgs=1; abs(I(PR1))],,X--Trace 2::[vvgs=2; abs(I(PR1))],Y--Trace 2::[vvgs=2; abs(I(PR1))],,X--Trace 3::[vvgs=3; abs(I(PR1))],Y--Trace 3::[vvgs=3; abs(I(PR1))],,X--Trace 4::[vvgs=4; abs(I(PR1))],Y--Trace 4::[vvgs=4; abs(I(PR1))],,X--Trace 5::[vvgs=5; abs(I(PR1))],Y--Trace 5::[vvgs=5; abs(I(PR1))]
0,1.57772E-30,,0,4.26376E-38,,0,2.00547E-50,,0,1.94968E-49,,0,7.77457E-49
0.1,1.39E-12,,0.1,1.38911E-12,,0.1,0.008624007,,0.1,0.015948417,,0.1,0.021954072
0.2,1.75504E-12,,0.2,1.75682E-12,,0.2,0.016509682,,0.2,0.03135534,,0.2,0.043498838
0.3,2.55618E-12,,0.3,2.55618E-12,,0.3,0.023634946,,0.3,0.046207673,,0.3,0.064626119
0.4,3.36087E-12,,0.4,3.36087E-12,,0.4,0.029976664,,0.4,0.060491817,,0.4,0.08532748
0.5,4.16023E-12,,0.5,4.16023E-12,,0.5,0.03551048,,0.5,0.074193597,,0.5,0.105594187
0.6,4.96314E-12,,0.6,4.96314E-12,,0.6,0.040210749,,0.6,0.087298238,,0.6,0.125417208
0.7,5.7625E-12,,0.7,5.7554E-12,,0.7,0.04405044,,0.7,0.099790327,,0.7,0.14478719
0.8,6.55831E-12,,0.8,6.56541E-12,,0.8,0.047001027,,0.8,0.111653782,,0.8,0.16369445
0.9,7.36833E-12,,0.9,7.37543E-12,,0.9,0.049032374,,0.9,0.122871798,,0.9,0.182128952
1,8.16414E-12,,1,8.15703E-12,,1,0.050112605,,1,0.133426814,,1,0.200080295
1.1,8.97415E-12,,1.1,8.97415E-12,,1.1,0.050290183,,1.1,0.143300453,,1.1,0.217537689
1.2,9.75575E-12,,1.2,9.76286E-12,,1.2,0.050290183,,1.2,0.152473476,,1.2,0.234489937
1.3,1.05587E-11,,1.3,1.05729E-11,,1.3,0.050290183,,1.3,0.16092572,,1.3,0.250925411
1.4,1.13687E-11,,1.4,1.13545E-11,,1.4,0.050290183,,1.4,0.168636038,,1.4,0.266832033
1.5,1.21787E-11,,1.5,1.21787E-11,,1.5,0.050290183,,1.5,0.175582225,,1.5,0.282197244
1.6,1.29887E-11,,1.6,1.29603E-11,,1.6,0.050290183,,1.6,0.181740948,,1.6,0.297007983
1.7,1.37845E-11,,1.7,1.37845E-11,,1.7,0.050290183,,1.7,0.187087663,,1.7,0.311250652
1.8,1.45661E-11,,1.8,1.45661E-11,,1.8,0.050290183,,1.8,0.191596521,,1.8,0.32491109
1.9,1.53761E-11,,1.9,1.53761E-11,,1.9,0.050290183,,1.9,0.195240274,,1.9,0.337974538
2,1.61577E-11,,2,1.61577E-11,,2,0.050290183,,2,0.197990163,,2,0.350425602
2.1,1.69678E-11,,2.1,1.69678E-11,,2.1,0.050290183,,2.1,0.199815801,,2.1,0.362248214
2.2,1.7792E-11,,2.2,1.78062E-11,,2.2,0.050290183,,2.2,0.200685038,,2.2,0.373425594
2.3,1.85736E-11,,2.3,1.8602E-11,,2.3,0.050290183,,2.3,0.200757495,,2.3,0.383940197
2.4,1.93836E-11,,2.4,1.9412E-11,,2.4,0.050290183,,2.4,0.200757495,,2.4,0.393773673
2.5,2.01794E-11,,2.5,2.01652E-11,,2.5,0.050290183,,2.5,0.200757495,,2.5,0.402906807
2.6,2.09752E-11,,2.6,2.09468E-11,,2.6,0.050290183,,2.6,0.200757495,,2.6,0.411319462
2.7,2.1771E-11,,2.7,2.18279E-11,,2.7,0.050290183,,2.7,0.200757495,,2.7,0.41899052
2.8,2.25384E-11,,2.8,2.25668E-11,,2.8,0.050290183,,2.8,0.200757495,,2.8,0.425897809
2.9,2.33626E-11,,2.9,2.33911E-11,,2.9,0.050290183,,2.9,0.200757495,,2.9,0.432018031
3,2.41585E-11,,3,2.41585E-11,,3,0.050290183,,3,0.200757495,,3,0.437326676
3.1,2.50111E-11,,3.1,2.49827E-11,,3.1,0.050290183,,3.1,0.200757495,,3.1,0.44179794
3.2,2.57501E-11,,3.2,2.57785E-11,,3.2,0.050290183,,3.2,0.200757495,,3.2,0.445404617
3.3,2.65459E-11,,3.3,2.65459E-11,,3.3,0.050290183,,3.3,0.200757495,,3.3,0.448117998
3.4,2.73701E-11,,3.4,2.73701E-11,,3.4,0.050290183,,3.4,0.200757495,,3.4,0.449907748
3.5,2.81943E-11,,3.5,2.81943E-11,,3.5,0.050290183,,3.5,0.200757495,,3.5,0.450741777
3.6,2.89901E-11,,3.6,2.89901E-11,,3.6,0.050290183,,3.6,0.200757495,,3.6,0.450801608
3.7,2.97575E-11,,3.7,2.98144E-11,,3.7,0.050290183,,3.7,0.200757495,,3.7,0.450801608
3.8,3.05818E-11,,3.8,3.05533E-11,,3.8,0.050290183,,3.8,0.200757495,,3.8,0.450801608
3.9,3.1406E-11,,3.9,3.1406E-11,,3.9,0.050290183,,3.9,0.200757495,,3.9,0.450801608
4,3.22018E-11,,4,3.22018E-11,,4,0.050290183,,4,0.200757495,,4,0.450801608
4.1,3.3026E-11,,4.1,3.3026E-11,,4.1,0.050290183,,4.1,0.200757495,,4.1,0.450801608
4.2,3.3765E-11,,4.2,3.3765E-11,,4.2,0.050290183,,4.2,0.200757495,,4.2,0.450801608
4.3,3.46176E-11,,4.3,3.45608E-11,,4.3,0.050290183,,4.3,0.200757495,,4.3,0.450801608
4.4,3.54419E-11,,4.4,3.54134E-11,,4.4,0.050290183,,4.4,0.200757495,,4.4,0.450801608
4.5,3.62377E-11,,4.5,3.61808E-11,,4.5,0.050290183,,4.5,0.200757495,,4.5,0.450801608
4.6,3.69766E-11,,4.6,3.70335E-11,,4.6,0.050290183,,4.6,0.200757495,,4.6,0.450801608
4.7,3.78293E-11,,4.7,3.7744E-11,,4.7,0.050290183,,4.7,0.200757495,,4.7,0.450801608
4.8,3.86251E-11,,4.8,3.85683E-11,,4.8,0.050290183,,4.8,0.200757495,,4.8,0.450801608
4.9,3.93641E-11,,4.9,3.94209E-11,,4.9,0.050290183,,4.9,0.200757495,,4.9,0.450801608
5,4.01883E-11,,5,4.01883E-11,,5,0.050290183,,5,0.200757495,,5,0.450801608
5.1,4.10409E-11,,5.1,4.09841E-11,,5.1,0.050290183,,5.1,0.200757495,,5.1,0.450801608
5.2,4.18368E-11,,5.2,4.18368E-11,,5.2,0.050290183,,5.2,0.200757495,,5.2,0.450801608
5.3,4.26326E-11,,5.3,4.25757E-11,,5.3,0.050290183,,5.3,0.200757495,,5.3,0.450801608
5.4,4.34284E-11,,5.4,4.34852E-11,,5.4,0.050290183,,5.4,0.200757495,,5.4,0.450801608
5.5,4.41673E-11,,5.5,4.41673E-11,,5.5,0.050290183,,5.5,0.200757495,,5.5,0.450801608
5.6,4.49631E-11,,5.6,4.49631E-11,,5.6,0.050290183,,5.6,0.200757495,,5.6,0.450801608
5.7,4.5759E-11,,5.7,4.5759E-11,,5.7,0.050290183,,5.7,0.200757495,,5.7,0.450801608
5.8,4.64411E-11,,5.8,4.66116E-11,,5.8,0.050290183,,5.8,0.200757495,,5.8,0.450801608
5.9,4.70095E-11,,5.9,4.74074E-11,,5.9,0.050290183,,5.9,0.200757495,,5.9,0.450801608
6,4.76348E-11,,6,4.82032E-11,,6,0.050290183,,6,0.200757495,,6,0.450801608
6.1,4.82601E-11,,6.1,4.8999E-11,,6.1,0.050290183,,6.1,0.200757495,,6.1,0.450801608
6.2,4.88853E-11,,6.2,4.97948E-11,,6.2,0.050290183,,6.2,0.200757495,,6.2,0.450801608
6.3,4.95106E-11,,6.3,5.06475E-11,,6.3,0.050290183,,6.3,0.200757495,,6.3,0.450801608
6.4,5.00791E-11,,6.4,5.13865E-11,,6.4,0.050290183,,6.4,0.200757495,,6.4,0.450801608
6.5,5.06475E-11,,6.5,5.21823E-11,,6.5,0.050290183,,6.5,0.200757495,,6.5,0.450801608
6.6,5.12728E-11,,6.6,5.30349E-11,,6.6,0.050290183,,6.6,0.200757495,,6.6,0.450801608
6.7,5.19549E-11,,6.7,5.38307E-11,,6.7,0.050290183,,6.7,0.200757495,,6.7,0.450801608
6.8,5.24665E-11,,6.8,5.4456E-11,,6.8,0.050290183,,6.8,0.200757495,,6.8,0.450801608
6.9,5.31486E-11,,6.9,5.50813E-11,,6.9,0.050290183,,6.9,0.200757495,,6.9,0.450801608
7,5.3717E-11,,7,5.56497E-11,,7,0.050290183,,7,0.200757495,,7,0.450801608
7.1,5.42286E-11,,7.1,5.6275E-11,,7.1,0.050290183,,7.1,0.200757495,,7.1,0.450801608
7.2,5.48539E-11,,7.2,5.67866E-11,,7.2,0.050290183,,7.2,0.200757495,,7.2,0.450801608
7.3,5.5536E-11,,7.3,5.74687E-11,,7.3,0.050290183,,7.3,0.200757495,,7.3,0.450801608
7.4,5.61045E-11,,7.4,5.8094E-11,,7.4,0.050290183,,7.4,0.200757495,,7.4,0.450801608
7.5,5.66729E-11,,7.5,5.86056E-11,,7.5,0.050290183,,7.5,0.200757495,,7.5,0.450801608
7.6,5.72982E-11,,7.6,5.92308E-11,,7.6,0.050290183,,7.6,0.200757495,,7.6,0.450801608
7.7,5.78666E-11,,7.7,5.97993E-11,,7.7,0.050290183,,7.7,0.200757495,,7.7,0.450801608
7.8,5.85487E-11,,7.8,6.04246E-11,,7.8,0.050290183,,7.8,0.200757495,,7.8,0.450801608
7.9,5.9174E-11,,7.9,6.11067E-11,,7.9,0.050290183,,7.9,0.200757495,,7.9,0.450801608
8,5.96856E-11,,8,6.16751E-11,,8,0.050290183,,8,0.200757495,,8,0.450801608
8.1,6.03109E-11,,8.1,6.22435E-11,,8.1,0.050290183,,8.1,0.200757495,,8.1,0.450801608
8.2,6.09361E-11,,8.2,6.28688E-11,,8.2,0.050290183,,8.2,0.200757495,,8.2,0.450801608
8.3,6.15046E-11,,8.3,6.34941E-11,,8.3,0.050290183,,8.3,0.200757495,,8.3,0.450801608
8.4,6.21299E-11,,8.4,6.40625E-11,,8.4,0.050290183,,8.4,0.200757495,,8.4,0.450801608
8.5,6.26983E-11,,8.5,6.4631E-11,,8.5,0.050290183,,8.5,0.200757495,,8.5,0.450801608
8.6,6.33236E-11,,8.6,6.52562E-11,,8.6,0.050290183,,8.6,0.200757495,,8.6,0.450801608
8.7,6.3892E-11,,8.7,6.58815E-11,,8.7,0.050290183,,8.7,0.200757495,,8.7,0.450801608
8.8,6.45173E-11,,8.8,6.645E-11,,8.8,0.050290183,,8.8,0.200757495,,8.8,0.450801608
8.9,6.51994E-11,,8.9,6.70752E-11,,8.9,0.050290183,,8.9,0.200757495,,8.9,0.450801608
9,6.57678E-11,,9,6.76437E-11,,9,0.050290183,,9,0.200757495,,9,0.450801608
9.1,6.63363E-11,,9.1,6.82121E-11,,9.1,0.050290183,,9.1,0.200757495,,9.1,0.450801608
9.2,6.69047E-11,,9.2,6.88942E-11,,9.2,0.050290183,,9.2,0.200757495,,9.2,0.450801608
9.3,6.74731E-11,,9.3,6.94058E-11,,9.3,0.050290183,,9.3,0.200757495,,9.3,0.450801608
9.4,6.80416E-11,,9.4,6.99742E-11,,9.4,0.050290183,,9.4,0.200757495,,9.4,0.450801608
9.5,6.87237E-11,,9.5,7.07132E-11,,9.5,0.050290183,,9.5,0.200757495,,9.5,0.450801608
9.6,6.9349E-11,,9.6,7.12816E-11,,9.6,0.050290183,,9.6,0.200757495,,9.6,0.450801608
9.7,6.99174E-11,,9.7,7.18501E-11,,9.7,0.050290183,,9.7,0.200757495,,9.7,0.450801608
9.8,7.05427E-11,,9.8,7.24754E-11,,9.8,0.050290183,,9.8,0.200757495,,9.8,0.450801608
9.9,7.11111E-11,,9.9,7.31006E-11,,9.9,0.050290183,,9.9,0.200757495,,9.9,0.450801608
10,7.17364E-11,,10,7.36691E-11,,10,0.050290183,,10,0.200757495,,10,0.450801608
